,site.code,subplot,index,maxdist,plotID
1196,DCLU,4,1,22.81775624,DCLU004
1197,DCLU,4,2,22.18152384,DCLU004
1198,DCLU,4,3,20.83314667,DCLU004
1199,DCLU,4,4,19.1031411,DCLU004
1200,DCLU,4,5,19.26058151,DCLU004
1201,DCLU,4,6,19.86353443,DCLU004
1202,DCLU,4,7,19.67358635,DCLU004
1203,DCLU,4,8,18.17965896,DCLU004
1204,DCLU,4,9,16.64241569,DCLU004
1205,DCLU,4,10,16.30030675,DCLU004
1206,DCLU,4,11,16.31103921,DCLU004
1207,DCLU,4,12,17.61391495,DCLU004
1208,DCLU,4,13,21.11160818,DCLU004
1209,DCLU,4,14,22.89541439,DCLU004
1210,DCLU,4,15,24.48836458,DCLU004
1211,DCLU,4,16,24.48836458,DCLU004
1212,DCLU,4,17,14.38923209,DCLU004
1213,DCLU,4,18,16.858529,DCLU004
1214,DCLU,4,19,18.84807682,DCLU004
1215,DCLU,4,20,21.14734026,DCLU004
1216,DCLU,4,21,23.08679276,DCLU004
1217,DCLU,4,22,14.14814475,DCLU004
1218,DCLU,4,23,24.2860042,DCLU004
1219,DCLU,4,24,22.53752427,DCLU004
1220,DCLU,4,25,20.79543219,DCLU004
1221,DCLU,4,26,14.89765082,DCLU004
1222,DCLU,4,27,14.74923727,DCLU004
1223,DCLU,4,28,16.81219795,DCLU004
1224,DCLU,4,29,19.1637679,DCLU004
1225,DCLU,4,30,17.26093856,DCLU004
1226,DCLU,4,31,18.02470527,DCLU004
1227,DCLU,4,32,22.81775624,DCLU004
1526,DLIS,2,1,24.98979792,DLIS002
1527,DLIS,2,2,23.89497855,DLIS002
1528,DLIS,2,3,23.49489306,DLIS002
1529,DLIS,2,4,21.68363438,DLIS002
1530,DLIS,2,5,21.19292335,DLIS002
1531,DLIS,2,6,20.48926548,DLIS002
1532,DLIS,2,7,20.26252699,DLIS002
1533,DLIS,2,8,21.1851363,DLIS002
1534,DLIS,2,9,17.40114939,DLIS002
1535,DLIS,2,10,17.2904598,DLIS002
1536,DLIS,2,11,17.72286659,DLIS002
1537,DLIS,2,12,19.12066944,DLIS002
1538,DLIS,2,13,19.57268505,DLIS002
1539,DLIS,2,14,21.1851363,DLIS002
1540,DLIS,2,15,21.47207489,DLIS002
1541,DLIS,2,16,22.48288238,DLIS002
1542,DLIS,2,17,23.00543414,DLIS002
1543,DLIS,2,18,23.12336481,DLIS002
1544,DLIS,2,19,25.18293073,DLIS002
1545,DLIS,2,20,23.33623791,DLIS002
1546,DLIS,2,21,23.22068044,DLIS002
1547,DLIS,2,22,22.56014184,DLIS002
1548,DLIS,2,23,20.29507329,DLIS002
1549,DLIS,2,24,18.3934771,DLIS002
1550,DLIS,2,25,19.60841656,DLIS002
1551,DLIS,2,26,17.2626765,DLIS002
1552,DLIS,2,27,17.34041522,DLIS002
1553,DLIS,2,28,18.73018953,DLIS002
1554,DLIS,2,29,16.32666531,DLIS002
1555,DLIS,2,30,17.05520448,DLIS002
1556,DLIS,2,31,20.84322432,DLIS002
1557,DLIS,2,32,21.13764414,DLIS002
1558,DLIS,2,33,19.99849994,DLIS002
1559,DLIS,2,34,20.70386437,DLIS002
1560,DLIS,2,35,20.16581265,DLIS002
1561,DLIS,2,36,21.40140182,DLIS002
1562,DLIS,2,37,23.69324798,DLIS002
1563,DLIS,2,38,24.98979792,DLIS002
1564,DLIS,2,39,24.19938016,DLIS002
1565,DLIS,2,40,22.28474815,DLIS002
1566,DLIS,2,41,20.10198995,DLIS002
1567,DLIS,2,42,18.10248602,DLIS002
1568,DLIS,2,43,18.86716725,DLIS002
1569,DLIS,2,44,18.62525168,DLIS002
1570,DLIS,2,45,20.67075228,DLIS002
1571,DLIS,2,46,18.52052915,DLIS002
1572,DLIS,2,47,21.11231868,DLIS002
1573,DLIS,2,48,21.50767305,DLIS002
1574,DLIS,2,49,22.00022727,DLIS002
1575,DLIS,2,50,25.18293073,DLIS002
1576,DLIS,2,51,24.84210136,DLIS002
1577,DLIS,2,52,23.66854453,DLIS002
1578,DLIS,2,53,15.76102789,DLIS002
1579,DLIS,2,54,16.76215977,DLIS002
1580,DLIS,2,55,17.3971262,DLIS002
1581,DLIS,2,56,17.63093872,DLIS002
1582,DLIS,2,57,17.46138597,DLIS002
1583,DLIS,2,58,21.47230775,DLIS002
1584,DLIS,2,59,21.22286503,DLIS002
1585,DLIS,2,60,20.34207462,DLIS002
1586,DLIS,2,61,16.64692164,DLIS002
1587,DLIS,2,62,16.68322511,DLIS002
1588,DLIS,2,63,16.00781059,DLIS002
1589,DLIS,2,64,16.83448841,DLIS002
1590,DLIS,2,65,18.77684745,DLIS002
1591,DLIS,2,66,14.80033783,DLIS002
1592,DLIS,2,67,14.58355238,DLIS002
1593,DLIS,2,68,16.61836334,DLIS002
1594,DLIS,2,69,20.18142711,DLIS002
1595,DLIS,2,70,21.60092591,DLIS002
1596,DLIS,2,71,20.29433418,DLIS002
1597,DLIS,2,72,18.01610391,DLIS002
2482,DTOW,5,1,13.59448418,DTOW005
2483,DTOW,5,2,11.73882447,DTOW005
2484,DTOW,5,3,13.55912977,DTOW005
2485,DTOW,5,4,13.59448418,DTOW005
