"","Variable","Theta","D_NH_288","D_NH_2880","D_NH_4320","D_H_288","D_H_2880","D_H_4320","I_NH_288","I_NH_2880","I_NH_4320","I_H_288","I_H_2880","I_H_4320","S_NH_288","S_NH_2880","S_NH_4320","S_H_288","S_H_2880","S_H_4320"
"1","successful",0.1,NA,0.06,0.08,0.15,0.89,0.95,NA,0.13,0.36,0.13,0.91,0.93,NA,0.62,0.76,0.19,0.91,0.94
"2","successful",0.5,NA,0.14,0.44,0.18,0.9,0.92,NA,0.24,0.46,0.1,0.91,0.95,NA,0.64,0.78,0.18,0.9,0.93
"3","successful",1,NA,0.3,0.56,0.2,0.87,0.92,NA,0.41,0.6,0.1,0.9,0.93,NA,0.69,0.8,0.19,0.9,0.95
"4","successful",2,NA,0.53,0.74,0.15,0.89,0.93,NA,0.59,0.7,0.11,0.91,0.93,NA,0.73,0.83,0.18,0.89,0.94
"5","successful",10,NA,0.82,0.86,0.18,0.9,0.93,NA,0.84,0.88,0.1,0.9,0.92,NA,0.83,0.89,0.15,0.9,0.93
"6","ext.time",0.1,NA,108.5,74,99,87,86,NA,171.5,312,90.5,88,85,NA,204,149,96.5,87,85
"7","ext.time",0.5,NA,292,261.5,91.5,86,85,NA,272,224.5,99,87,85,NA,165,128,105.5,87,85
"8","ext.time",1,NA,293,199,109,88,85,NA,250,179,104,87,85,NA,146,120,102.5,87,85
"9","ext.time",2,NA,192,145,100,87,85,NA,178,137,89.5,87,85,NA,129,110,104,87,85
"10","ext.time",10,NA,107,97.5,93,88,86,NA,105,97,102.5,87,86,NA,100,93,96,88,85
"11","time.peak",0.1,NA,43.5,46,43,28,23,NA,53,136,36,28,23,NA,104,71,41.5,28,23
"12","time.peak",0.5,NA,82,115,36,28,23,NA,136.5,103,39,28,23,NA,75,55,40,28,23
"13","time.peak",1,NA,123,89,46,28,23,NA,112,77,41.5,27,23,NA,65,49,41,28,23
"14","time.peak",2,NA,86,63,41,28,23,NA,80,57,24.5,27,23,NA,55,42,40,28,23
"15","time.peak",10,NA,42,33,41,28,23,NA,41,33,43.5,28,23,NA,38,30,40.5,28,23
"16","prop.I.peak",0.1,NA,0,0,0,0.2,0.2,NA,0,0,0,0.2,0.2,NA,0,0.1,0,0.2,0.2
"17","prop.I.peak",0.5,NA,0,0,0,0.2,0.2,NA,0,0,0,0.2,0.2,NA,0.1,0.1,0,0.2,0.2
"18","prop.I.peak",1,NA,0,0.1,0,0.2,0.2,NA,0,0.1,0,0.2,0.2,NA,0.1,0.1,0,0.2,0.2
"19","prop.I.peak",2,NA,0.1,0.1,0,0.2,0.2,NA,0.1,0.1,0,0.2,0.2,NA,0.1,0.1,0,0.2,0.2
"20","prop.I.peak",10,NA,0.1,0.2,0,0.2,0.2,NA,0.1,0.2,0,0.2,0.2,NA,0.1,0.2,0,0.2,0.2
"21","duration",0.1,NA,66.5,169,63,45,44,NA,125,159,56,46,44,NA,104,76,64,45,44
"22","duration",0.5,NA,160,137,61,44,44,NA,140,115,61,45,44,NA,84,66,67,45,44
"23","duration",1,NA,143,102,66,45,44,NA,125,92,60,45,44,NA,74,61,65,45,44
"24","duration",2,NA,100,75,66,45,44,NA,91,70,50,45,44,NA,67,56,66,45,44
"25","duration",10,NA,55,50,61,45,44,NA,54,50,57,44,44,NA,52,48,58,45,44
